mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
15	15	2/3	2/3	4/4	23	1	1/24		1/16	2/3		6	78	1194
15	15	2/3	2/3	4/4	22	1	1/24		1/16	2/3		3	81	1170
15	15	2/3	2/3	4/4	21	1	1/24		1/16	2/3		0	84	1146
15	15	17/24	17/24	4/4	28	1	1/24		1/16	2/3		-3	63	1315
15	15	17/24	17/24	4/4	27	1	1/24		1/16	2/3		6	66	1291
15	15	17/24	17/24	4/4	26	1	1/24		1/16	2/3		3	69	1267
15	15	17/24	17/24	4/4	25	1	1/24		1/16	2/3		0	72	1243
15	15	17/24	17/24	4/4	24	1	1/24		1/16	2/3		-3	75	1219
15	15	17/24	17/24	4/4	23	1	1/24		1/16	2/3		6	78	1195
15	15	17/24	17/24	4/4	22	1	1/24		1/16	2/3		3	81	1171
15	15	17/24	17/24	4/4	21	1	1/24		1/16	2/3		0	84	1147
15	15	3/4	3/4	4/4	28	1	1/24		1/16	2/3		2	62	1316
15	15	3/4	3/4	4/4	27	1	1/24		1/16	2/3		-1	65	1292
15	15	3/4	3/4	4/4	26	1	1/24		1/16	2/3		-4	68	1268
15	15	3/4	3/4	4/4	25	1	1/24		1/16	2/3		5	71	1244
15	15	3/4	3/4	4/4	24	1	1/24		1/16	2/3		2	74	1220
15	15	3/4	3/4	4/4	23	1	1/24		1/16	2/3		-1	77	1196
15	15	3/4	3/4	4/4	22	1	1/24		1/16	2/3		-4	80	1172
15	15	3/4	3/4	4/4	21	1	1/24		1/16	2/3		5	83	1148
15	15	19/24	19/24	4/4	28	1	1/24		1/16	2/3		2	62	1317
15	15	19/24	19/24	4/4	27	1	1/24		1/16	2/3		-1	65	1293
15	15	19/24	19/24	4/4	26	1	1/24		1/16	2/3		-4	68	1269
15	15	19/24	19/24	4/4	25	1	1/24		1/16	2/3		5	71	1245
15	15	19/24	19/24	4/4	24	1	1/24		1/16	2/3		2	74	1221
15	15	19/24	19/24	4/4	23	1	1/24		1/16	2/3		-1	77	1197
15	15	19/24	19/24	4/4	22	1	1/24		1/16	2/3		-4	80	1173
15	15	19/24	19/24	4/4	21	1	1/24		1/16	2/3		5	83	1149
15	15	5/6	5/6	4/4	28	1	1/24		1/16	2/3		7	61	1318
15	15	5/6	5/6	4/4	27	1	1/24		1/16	2/3		4	64	1294
15	15	5/6	5/6	4/4	26	1	1/24		1/16	2/3		1	67	1270
15	15	5/6	5/6	4/4	25	1	1/24		1/16	2/3		-2	70	1246
15	15	5/6	5/6	4/4	24	1	1/24		1/16	2/3		7	73	1222
15	15	5/6	5/6	4/4	23	1	1/24		1/16	2/3		4	76	1198
15	15	5/6	5/6	4/4	22	1	1/24		1/16	2/3		1	79	1174
15	15	5/6	5/6	4/4	21	1	1/24		1/16	2/3		-2	82	1150
15	15	7/8	7/8	4/4	28	1	1/24		1/16	2/3		7	61	1319
15	15	7/8	7/8	4/4	27	1	1/24		1/16	2/3		4	64	1295
15	15	7/8	7/8	4/4	26	1	1/24		1/16	2/3		1	67	1271
15	15	7/8	7/8	4/4	25	1	1/24		1/16	2/3		-2	70	1247
15	15	7/8	7/8	4/4	24	1	1/24		1/16	2/3		7	73	1223
15	15	7/8	7/8	4/4	23	1	1/24		1/16	2/3		4	76	1199
15	15	7/8	7/8	4/4	22	1	1/24		1/16	2/3		1	79	1175
15	15	7/8	7/8	4/4	21	1	1/24		1/16	2/3		-2	82	1151
15	15	11/12	11/12	4/4	28	1	1/24		1/16	2/3		0	60	1320
15	15	11/12	11/12	4/4	27	1	1/24		1/16	2/3		-3	63	1296
15	15	11/12	11/12	4/4	26	1	1/24		1/16	2/3		6	66	1272
15	15	11/12	11/12	4/4	25	1	1/24		1/16	2/3		3	69	1248
15	15	11/12	11/12	4/4	24	1	1/24		1/16	2/3		0	72	1224
15	15	11/12	11/12	4/4	23	1	1/24		1/16	2/3		-3	75	1200
15	15	11/12	11/12	4/4	22	1	1/24		1/16	2/3		6	78	1176
15	15	11/12	11/12	4/4	21	1	1/24		1/16	2/3		3	81	1152
15	15	23/24	23/24	4/4	28	1	1/24		1/16	2/3		0	60	1321
15	15	23/24	23/24	4/4	27	1	1/24		1/16	2/3		-3	63	1297
15	15	23/24	23/24	4/4	26	1	1/24		1/16	2/3		6	66	1273
15	15	23/24	23/24	4/4	25	1	1/24		1/16	2/3		3	69	1249
15	15	23/24	23/24	4/4	24	1	1/24		1/16	2/3		0	72	1225
15	15	23/24	23/24	4/4	23	1	1/24		1/16	2/3		-3	75	1201
15	15	23/24	23/24	4/4	22	1	1/24		1/16	2/3		6	78	1177
15	15	23/24	23/24	4/4	21	1	1/24		1/16	2/3		3	81	1153
16	16	0	0	4/4	30	1	1/24		1/16	2/3		-4	32	1402
16	16	0	0	4/4	29	2	1/24		1/16	2/3		0	36	1378
16	16	0	0	4/4	29	1	1/24		1/16	2/3		-3	39	1354
16	16	0	0	4/4	30	1	1/24		1/16	2/3		-3	39	1402
16	16	0	0	4/4	28	1	1/8		1/8	1		0	60	1350
16	16	0	0	4/4	27	1	1/8		1/8	1		-3	63	1346
16	16	0	0	4/4	26	1	1/8		1/8	1		4	64	1342
16	16	0	0	4/4	25	1	1/8		1/8	1		-4	68	1338
16	16	0	0	4/4	24	1	1/8		1/8	1		0	72	1334
16	16	0	0	4/4	22	1	1/8		1/8	1		-3	75	1326
16	16	0	0	4/4	23	1	1/8		1/8	1		-3	75	1330
16	16	0	0	4/4	21	1	1/8		1/8	1		-4	80	1322
16	16	1/24	1/24	4/4	30	1	1/24		1/16	2/3		1	31	1403
16	16	1/24	1/24	4/4	29	2	1/24		1/16	2/3		-5	37	1379
16	16	1/24	1/24	4/4	30	1	1/24		1/16	2/3		-5	37	1403
16	16	1/24	1/24	4/4	29	1	1/24		1/16	2/3		-1	41	1355
16	16	1/12	1/12	4/4	30	1	1/24		1/16	2/3		-4	32	1404
16	16	1/12	1/12	4/4	30	1	1/24		1/16	2/3		0	36	1404
16	16	1/12	1/12	4/4	29	1	1/24		1/16	2/3		-3	39	1356
16	16	1/12	1/12	4/4	29	2	1/24		1/16	2/3		-3	39	1380
16	16	1/8	1/8	4/4	30	1	1/24		1/16	2/3		5	35	1405
16	16	1/8	1/8	4/4	29	2	1/24		1/16	2/3		-5	37	1381
16	16	1/8	1/8	4/4	30	1	1/24		1/16	2/3		-5	37	1405
16	16	1/8	1/8	4/4	29	1	1/24		1/16	2/3		-1	41	1357
16	16	1/6	1/6	4/4	30	1	1/24		1/16	2/3		-4	32	1406
16	16	1/6	1/6	4/4	29	2	1/24		1/16	2/3		0	36	1382
16	16	1/6	1/6	4/4	29	1	1/24		1/16	2/3		-3	39	1358
16	16	1/6	1/6	4/4	30	1	1/24		1/16	2/3		-3	39	1406
16	16	5/24	5/24	4/4	30	1	1/24		1/16	2/3		1	31	1407
16	16	5/24	5/24	4/4	29	2	1/24		1/16	2/3		-5	37	1383
16	16	5/24	5/24	4/4	30	1	1/24		1/16	2/3		-5	37	1407
16	16	5/24	5/24	4/4	29	1	1/24		1/16	2/3		-1	41	1359
16	16	1/4	1/4	4/4	30	1	1/24		1/16	2/3		-4	32	1408
16	16	1/4	1/4	4/4	30	1	1/24		1/16	2/3		0	36	1408
16	16	1/4	1/4	4/4	29	1	1/24		1/16	2/3		-3	39	1360
16	16	1/4	1/4	4/4	29	2	1/24		1/16	2/3		-3	39	1384
16	16	7/24	7/24	4/4	30	1	1/24		1/16	2/3		5	35	1409
16	16	7/24	7/24	4/4	29	2	1/24		1/16	2/3		-5	37	1385
16	16	7/24	7/24	4/4	30	1	1/24		1/16	2/3		-5	37	1409
16	16	7/24	7/24	4/4	29	1	1/24		1/16	2/3		-1	41	1361
16	16	1/3	1/3	4/4	30	1	1/24		1/16	2/3		-4	32	1410
16	16	1/3	1/3	4/4	29	2	1/24		1/16	2/3		0	36	1386
16	16	1/3	1/3	4/4	29	1	1/24		1/16	2/3		-3	39	1362
16	16	1/3	1/3	4/4	30	1	1/24		1/16	2/3		-3	39	1410
16	16	3/8	3/8	4/4	30	1	1/24		1/16	2/3		1	31	1411
16	16	3/8	3/8	4/4	29	2	1/24		1/16	2/3		-5	37	1387
16	16	3/8	3/8	4/4	30	1	1/24		1/16	2/3		-5	37	1411
16	16	3/8	3/8	4/4	29	1	1/24		1/16	2/3		-1	41	1363
16	16	5/12	5/12	4/4	30	1	1/24		1/16	2/3		-4	32	1412
16	16	5/12	5/12	4/4	30	1	1/24		1/16	2/3		0	36	1412
16	16	5/12	5/12	4/4	29	1	1/24		1/16	2/3		-3	39	1364
16	16	5/12	5/12	4/4	29	2	1/24		1/16	2/3		-3	39	1388
16	16	11/24	11/24	4/4	30	1	1/24		1/16	2/3		5	35	1413
16	16	11/24	11/24	4/4	29	2	1/24		1/16	2/3		-5	37	1389
16	16	11/24	11/24	4/4	30	1	1/24		1/16	2/3		-5	37	1413
16	16	11/24	11/24	4/4	29	1	1/24		1/16	2/3		-1	41	1365
16	16	1/2	1/2	4/4	30	1	1/24		1/16	2/3		-4	32	1414
16	16	1/2	1/2	4/4	29	2	1/24		1/16	2/3		0	36	1390
16	16	1/2	1/2	4/4	29	1	1/24		1/16	2/3		-3	39	1366
16	16	1/2	1/2	4/4	30	1	1/24		1/16	2/3		-3	39	1414
16	16	13/24	13/24	4/4	30	1	1/24		1/16	2/3		1	31	1415
16	16	13/24	13/24	4/4	29	2	1/24		1/16	2/3		-5	37	1391
16	16	13/24	13/24	4/4	30	1	1/24		1/16	2/3		-5	37	1415
16	16	13/24	13/24	4/4	29	1	1/24		1/16	2/3		-1	41	1367
16	16	7/12	7/12	4/4	30	1	1/24		1/16	2/3		-4	32	1416
16	16	7/12	7/12	4/4	30	1	1/24		1/16	2/3		0	36	1416
16	16	7/12	7/12	4/4	29	1	1/24		1/16	2/3		-3	39	1368
16	16	7/12	7/12	4/4	29	2	1/24		1/16	2/3		-3	39	1392
16	16	5/8	5/8	4/4	30	1	1/24		1/16	2/3		5	35	1417
16	16	5/8	5/8	4/4	29	2	1/24		1/16	2/3		-5	37	1393
16	16	5/8	5/8	4/4	30	1	1/24		1/16	2/3		-5	37	1417
16	16	5/8	5/8	4/4	29	1	1/24		1/16	2/3		-1	41	1369
16	16	2/3	2/3	4/4	30	1	1/24		1/16	2/3		-4	32	1418
16	16	2/3	2/3	4/4	29	2	1/24		1/16	2/3		0	36	1394
16	16	2/3	2/3	4/4	29	1	1/24		1/16	2/3		-3	39	1370
16	16	2/3	2/3	4/4	30	1	1/24		1/16	2/3		-3	39	1418
16	16	17/24	17/24	4/4	30	1	1/24		1/16	2/3		1	31	1419
16	16	17/24	17/24	4/4	29	2	1/24		1/16	2/3		-5	37	1395
16	16	17/24	17/24	4/4	30	1	1/24		1/16	2/3		-5	37	1419
16	16	17/24	17/24	4/4	29	1	1/24		1/16	2/3		-1	41	1371
16	16	3/4	3/4	4/4	30	1	1/24		1/16	2/3		-4	32	1420
16	16	3/4	3/4	4/4	30	1	1/24		1/16	2/3		0	36	1420
16	16	3/4	3/4	4/4	29	1	1/24		1/16	2/3		-3	39	1372
16	16	3/4	3/4	4/4	29	2	1/24		1/16	2/3		-3	39	1396
16	16	19/24	19/24	4/4	30	1	1/24		1/16	2/3		5	35	1421
16	16	19/24	19/24	4/4	29	2	1/24		1/16	2/3		-5	37	1397
16	16	19/24	19/24	4/4	30	1	1/24		1/16	2/3		-5	37	1421
16	16	19/24	19/24	4/4	29	1	1/24		1/16	2/3		-1	41	1373
16	16	5/6	5/6	4/4	30	1	1/24		1/16	2/3		-4	32	1422
16	16	5/6	5/6	4/4	29	2	1/24		1/16	2/3		0	36	1398
16	16	5/6	5/6	4/4	29	1	1/24		1/16	2/3		-3	39	1374
16	16	5/6	5/6	4/4	30	1	1/24		1/16	2/3		-3	39	1422
16	16	7/8	7/8	4/4	30	1	1/24		1/16	2/3		1	31	1423
16	16	7/8	7/8	4/4	29	2	1/24		1/16	2/3		-5	37	1399
16	16	7/8	7/8	4/4	30	1	1/24		1/16	2/3		-5	37	1423
16	16	7/8	7/8	4/4	29	1	1/24		1/16	2/3		-1	41	1375
16	16	7/8	7/8	4/4	27	1	1/32		1/32	1		0	60	1347
16	16	7/8	7/8	4/4	28	1	1/32		1/32	1		0	60	1351
16	16	7/8	7/8	4/4	24	1	1/32		1/32	1		0	72	1335
16	16	7/8	7/8	4/4	25	1	1/32		1/32	1		0	72	1339
16	16	7/8	7/8	4/4	26	1	1/32		1/32	1		0	72	1343
16	16	7/8	7/8	4/4	21	1	1/32		1/32	1		0	84	1323
16	16	7/8	7/8	4/4	22	1	1/32		1/32	1		0	84	1327
16	16	7/8	7/8	4/4	23	1	1/32		1/32	1		0	84	1331
16	16	29/32	29/32	4/4	27	1	1/32		1/32	1		-5	61	1348
16	16	29/32	29/32	4/4	28	1	1/32		1/32	1		-5	61	1352
16	16	29/32	29/32	4/4	24	1	1/32		1/32	1		-5	73	1336
16	16	29/32	29/32	4/4	25	1	1/32		1/32	1		-5	73	1340
16	16	29/32	29/32	4/4	26	1	1/32		1/32	1		-5	73	1344
16	16	29/32	29/32	4/4	21	1	1/32		1/32	1		-5	85	1324
16	16	29/32	29/32	4/4	22	1	1/32		1/32	1		-5	85	1328
16	16	29/32	29/32	4/4	23	1	1/32		1/32	1		-5	85	1332
16	16	11/12	11/12	4/4	30	1	1/24		1/16	2/3		-4	32	1424
16	16	11/12	11/12	4/4	30	1	1/24		1/16	2/3		0	36	1424
16	16	11/12	11/12	4/4	29	1	1/24		1/16	2/3		-3	39	1376
16	16	11/12	11/12	4/4	29	2	1/24		1/16	2/3		-3	39	1400
16	16	15/16	15/16	4/4	27	1	1/32		1/32	1		-3	63	1349
16	16	15/16	15/16	4/4	28	1	1/32		1/32	1		-3	63	1353
16	16	15/16	15/16	4/4	24	1	1/32		1/32	1		-3	75	1337
16	16	15/16	15/16	4/4	25	1	1/32		1/32	1		-3	75	1341
16	16	15/16	15/16	4/4	26	1	1/32		1/32	1		-3	75	1345
16	16	15/16	15/16	4/4	21	1	1/32		1/32	1		-3	87	1325
16	16	15/16	15/16	4/4	22	1	1/32		1/32	1		-3	87	1329
16	16	15/16	15/16	4/4	23	1	1/32		1/32	1		-3	87	1333
16	16	23/24	23/24	4/4	30	1	1/24		1/16	2/3		5	35	1425
16	16	23/24	23/24	4/4	29	2	1/24		1/16	2/3		-5	37	1401
16	16	23/24	23/24	4/4	30	1	1/24		1/16	2/3		-5	37	1425
16	16	23/24	23/24	4/4	29	1	1/24		1/16	2/3		-1	41	1377
17	17	0	0	4/4	30	1	1/2		1/2	1		-4	32	1463
17	17	0	0	4/4	29	1	1/2		1/2	1		0	36	1462
17	17	0	0	4/4	14	1	1		1	1	1	0	36	1452
17	17	0	0	4/4	29	1	1/2		1/2	1		-3	39	1462
17	17	0	0	4/4	30	1	1/2		1/2	1		-3	39	1463
17	17	0	0	4/4	8	1	1		1	1	1	-3	39	1448
17	17	0	0	4/4	9	1	1		1	1	1	-3	39	1449
17	17	0	0	4/4	8	1	1		1	1		-4	44	1448
17	17	0	0	4/4	9	1	1		1	1		-4	44	1449
17	17	0	0	4/4	13	1	1		1	1		-4	44	1451
17	17	0	0	4/4	16	1	1/2		1/2	1		0	48	1453
17	17	0	0	4/4	12	1	1		1	1	1	-3	51	1450
17	17	0	0	4/4	5	1	1		1	1	1	6	54	1447
17	17	0	0	4/4	12	1	1		1	1	1	6	54	1450
17	17	0	0	4/4	25	1	1/4		1/4	1		-4	56	1458
17	17	0	0	4/4	26	1	1/4		1/4	1		-4	56	1459
17	17	0	0	4/4	23	1	1/4		1/4	1		0	60	1456
17	17	0	0	4/4	24	1	1/4		1/4	1		0	60	1457
17	17	0	0	4/4	21	1	1/4		1/4	1		-3	63	1454
17	17	0	0	4/4	22	1	1/4		1/4	1		-3	63	1455
17	17	0	0	4/4	27	1	1/2		1/2	1		6	66	1460
17	17	0	0	4/4	28	1	1/2		1/2	1		6	66	1461
17	17	1/4	1/4	4/4	1	1	1/4		1/4	1		0	84	1426
17	17	1/4	1/4	4/4	3	1	1/4		1/4	1		0	84	1440
17	17	1/4	1/4	4/4	2	1	1/4		1/4	1		0	96	1433
17	17	1/2	1/2	4/4	1	1	1/8		1/8	1		0	84	1427
17	17	1/2	1/2	4/4	3	1	1/8		1/8	1		0	84	1441
17	17	1/2	1/2	4/4	2	1	1/8		1/8	1		0	96	1434
17	17	5/8	5/8	4/4	1	1	1/24		1/16	2/3		0	84	1428
17	17	5/8	5/8	4/4	3	1	1/24		1/16	2/3		0	84	1442
17	17	5/8	5/8	4/4	2	1	1/24		1/16	2/3		0	96	1435
17	17	2/3	2/3	4/4	1	1	1/12		1/8	2/3		0	84	1429
17	17	2/3	2/3	4/4	3	1	1/12		1/8	2/3		0	84	1443
17	17	2/3	2/3	4/4	2	1	1/12		1/8	2/3		0	96	1436
17	17	3/4	3/4	4/4	1	1	1/12		1/8	2/3		0	84	1430
17	17	3/4	3/4	4/4	3	1	1/12		1/8	2/3		0	84	1444
17	17	3/4	3/4	4/4	2	1	1/12		1/8	2/3		0	96	1437
17	17	5/6	5/6	4/4	1	1	1/12		1/8	2/3		0	84	1431
17	17	5/6	5/6	4/4	3	1	1/12		1/8	2/3		0	84	1445
17	17	5/6	5/6	4/4	2	1	1/12		1/8	2/3		0	96	1438
17	17	11/12	11/12	4/4	1	1	1/12		1/8	2/3		0	84	1432
17	17	11/12	11/12	4/4	3	1	1/12		1/8	2/3		0	84	1446
17	17	11/12	11/12	4/4	2	1	1/12		1/8	2/3		0	96	1439
18	18	0	0	4/4	14	1	1		1	1	-1	0	36	1490
18	18	0	0	4/4	8	1	1		1	1	-1	-3	39	1486
18	18	0	0	4/4	9	1	1		1	1	-1	-3	39	1487
18	18	0	0	4/4	8	1	1		1	1		3	45	1486
18	18	0	0	4/4	9	1	1		1	1		3	45	1487
18	18	0	0	4/4	13	1	1		1	1		3	45	1489
18	18	0	0	4/4	12	1	1		1	1	-1	-3	51	1488
18	18	0	0	4/4	5	1	1		1	1	0	6	54	1485
18	18	0	0	4/4	12	1	1		1	1	-1	6	54	1488
18	18	0	0	4/4	1	1	1/12		1/8	2/3		0	84	1464
18	18	0	0	4/4	3	1	1/12		1/8	2/3		0	84	1478
18	18	0	0	4/4	2	1	1/12		1/8	2/3		0	96	1471
18	18	1/12	1/12	4/4	1	1	1/12		1/8	2/3		0	84	1465
18	18	1/12	1/12	4/4	3	1	1/12		1/8	2/3		0	84	1479
18	18	1/12	1/12	4/4	2	1	1/12		1/8	2/3		0	96	1472
18	18	1/6	1/6	4/4	1	1	1/12		1/8	2/3		0	84	1466
18	18	1/6	1/6	4/4	3	1	1/12		1/8	2/3		0	84	1480
18	18	1/6	1/6	4/4	2	1	1/12		1/8	2/3		0	96	1473
18	18	1/4	1/4	4/4	1	1	1/12		1/8	2/3		0	84	1467
18	18	1/4	1/4	4/4	3	1	1/12		1/8	2/3		0	84	1481
18	18	1/4	1/4	4/4	2	1	1/12		1/8	2/3		0	96	1474
18	18	1/3	1/3	4/4	1	1	1/12		1/8	2/3		0	84	1468
18	18	1/3	1/3	4/4	3	1	1/12		1/8	2/3		0	84	1482
18	18	1/3	1/3	4/4	2	1	1/12		1/8	2/3		0	96	1475
18	18	5/12	5/12	4/4	1	1	1/12		1/8	2/3		0	84	1469
18	18	5/12	5/12	4/4	3	1	1/12		1/8	2/3		0	84	1483
18	18	5/12	5/12	4/4	2	1	1/12		1/8	2/3		0	96	1476
18	18	1/2	1/2	4/4	1	1	1/2		1/2	1		0	84	1470
18	18	1/2	1/2	4/4	3	1	1/2		1/2	1		0	84	1484
18	18	1/2	1/2	4/4	2	1	1/2		1/2	1		0	96	1477
19	19	0	0	4/4	18	1	1		1	1		5	35	1505
19	19	0	0	4/4	9	1	1/8		1/8	1		4	40	1500
19	19	0	0	4/4	9	2	1/8		1/8	1		4	40	1501
19	19	0	0	4/4	8	1	1/8		1/8	1		1	43	1499
19	19	0	0	4/4	8	1	1/8		1/8	1		0	48	1499
19	19	0	0	4/4	13	1	1/8		1/8	1		0	48	1503
19	19	0	0	4/4	14	1	1/8		1/8	1		0	48	1504
19	19	0	0	4/4	12	1	1/8		1/8	1		4	52	1502
19	19	0	0	4/4	5	1	1/4		1/4	1	-1	6	54	1494
19	19	0	0	4/4	12	1	1/8		1/8	1		1	55	1502
19	19	0	0	4/4	1	1	1/4		1/4	1		0	72	1491
19	19	0	0	4/4	3	1	1/4		1/4	1		0	72	1493
19	19	0	0	4/4	2	1	1/4		1/4	1		0	84	1492
19	19	1/2	1/2	4/4	7	1	1/4		1/4	1		0	60	1495
19	19	3/4	3/4	4/4	7	1	1/8		1/8	1		0	60	1496
19	19	7/8	7/8	4/4	7	1	1/24		1/16	2/3		0	60	1497
19	19	11/12	11/12	4/4	7	1	1/12		1/8	2/3		0	60	1498
20	20	0	0	4/4	18	1	1		1	1		5	35	1516
20	20	0	0	4/4	7	1	1/12		1/8	2/3		0	60	1506
20	20	1/12	1/12	4/4	7	1	1/12		1/8	2/3		0	60	1507
20	20	1/6	1/6	4/4	7	1	1/12		1/8	2/3		0	60	1508
20	20	1/4	1/4	4/4	7	1	1/12		1/8	2/3		0	60	1509
20	20	1/3	1/3	4/4	7	1	1/12		1/8	2/3		0	60	1510
20	20	5/12	5/12	4/4	7	1	1/12		1/8	2/3		0	60	1511
20	20	1/2	1/2	4/4	7	1	1/12		1/8	2/3		0	60	1512
20	20	7/12	7/12	4/4	7	1	1/12		1/8	2/3		0	60	1513
20	20	2/3	2/3	4/4	7	1	1/12		1/8	2/3		0	60	1514
20	20	3/4	3/4	4/4	7	1	1/4		1/4	1		0	60	1515
21	21	0	0	6/8	18	1	3/4		1/2	3/2		5	35	1522
21	21	0	0	6/8	16	1	1/4		1/4	1		1	43	1518
21	21	0	0	6/8	16	1	1/4		1/4	1		0	48	1518
21	21	1/4	1/4	6/8	16	1	1/8		1/8	1		1	43	1519
21	21	1/4	1/4	6/8	16	1	1/8		1/8	1		0	48	1519
21	21	3/8	3/8	6/8	16	1	1/4		1/4	1		1	43	1520
21	21	3/8	3/8	6/8	16	1	1/4		1/4	1		0	48	1520
21	21	5/8	5/8	6/8	16	1	1/8		1/8	1		1	43	1521
21	21	5/8	5/8	6/8	16	1	1/8		1/8	1		0	48	1521
21	21	5/8	5/8	6/8	5	1	1/8		1/8	1		1	67	1517
22	22	0	0	6/8	18	1	3/4		1/2	3/2		5	35	1533
22	22	0	0	6/8	16	1	1/4		1/4	1		1	43	1529
22	22	0	0	6/8	16	1	1/4		1/4	1		0	48	1529
22	22	0	0	6/8	5	1	1/4		1/4	1		1	67	1523
22	22	1/4	1/4	6/8	5	1	0	acciaccatura	1/8	1		5	71	1524
22	22	1/4	1/4	6/8	16	1	1/8		1/8	1		1	43	1530
22	22	1/4	1/4	6/8	16	1	1/8		1/8	1		0	48	1530
22	22	1/4	1/4	6/8	5	1	1/8		1/8	1		0	72	1525
22	22	3/8	3/8	6/8	16	1	1/4		1/4	1		1	43	1531
22	22	3/8	3/8	6/8	16	1	1/4		1/4	1		0	48	1531
22	22	3/8	3/8	6/8	5	1	1/4		1/4	1		1	67	1526
22	22	5/8	5/8	6/8	5	1	0	acciaccatura	1/8	1		9	75	1527
22	22	5/8	5/8	6/8	16	1	1/8		1/8	1		1	43	1532
22	22	5/8	5/8	6/8	16	1	1/8		1/8	1		0	48	1532
22	22	5/8	5/8	6/8	5	1	1/8		1/8	1		4	76	1528
23	23	0	0	6/8	5	1	0	acciaccatura	1/8	1		9	75	1534
23	23	0	0	6/8	18	1	3/4		1/2	3/2		5	35	1544
23	23	0	0	6/8	16	1	1/4		1/4	1		1	43	1540
23	23	0	0	6/8	16	1	1/4		1/4	1		0	48	1540
23	23	0	0	6/8	5	1	1/4		1/4	1		4	76	1535
23	23	1/4	1/4	6/8	5	1	0	acciaccatura	1/8	1		4	76	1536
23	23	1/4	1/4	6/8	16	1	1/8		1/8	1		1	43	1541
23	23	1/4	1/4	6/8	16	1	1/8		1/8	1		0	48	1541
23	23	1/4	1/4	6/8	5	1	1/8		1/8	1		-1	77	1537
23	23	3/8	3/8	6/8	16	1	1/4		1/4	1		1	43	1542
23	23	3/8	3/8	6/8	16	1	1/4		1/4	1		0	48	1542
23	23	3/8	3/8	6/8	5	1	1/4		1/4	1		-1	77	1538
23	23	5/8	5/8	6/8	16	1	1/8		1/8	1		1	43	1543
23	23	5/8	5/8	6/8	16	1	1/8		1/8	1		0	48	1543
23	23	5/8	5/8	6/8	5	1	1/8		1/8	1		4	76	1539
24	24	0	0	6/8	18	1	3/4		1/2	3/2		5	35	1553
24	24	0	0	6/8	16	1	1/4		1/4	1		1	43	1549
24	24	0	0	6/8	16	1	1/4		1/4	1		0	48	1549
24	24	0	0	6/8	5	1	1/4		1/4	1		4	76	1545
24	24	1/4	1/4	6/8	16	1	1/8		1/8	1		1	43	1550
24	24	1/4	1/4	6/8	16	1	1/8		1/8	1		0	48	1550
24	24	1/4	1/4	6/8	5	1	1/8		1/8	1		2	74	1546
24	24	3/8	3/8	6/8	16	1	1/4		1/4	1		1	43	1551
24	24	3/8	3/8	6/8	16	1	1/4		1/4	1		0	48	1551
24	24	3/8	3/8	6/8	5	1	1/4		1/4	1		2	74	1547
24	24	5/8	5/8	6/8	16	1	1/8		1/8	1		1	43	1552
24	24	5/8	5/8	6/8	16	1	1/8		1/8	1		0	48	1552
24	24	5/8	5/8	6/8	5	1	1/8		1/8	1		0	72	1548
25	25	0	0	6/8	18	1	3/4		1/2	3/2		5	35	1565
25	25	0	0	6/8	16	1	1/4		1/4	1		1	43	1561
25	25	0	0	6/8	16	1	1/4		1/4	1		0	48	1561
25	25	0	0	6/8	5	1	3/16		1/8	3/2		0	72	1554
25	25	3/16	3/16	6/8	5	1	1/16		1/16	1		2	74	1555
25	25	1/4	1/4	6/8	16	1	1/8		1/8	1		1	43	1562
25	25	1/4	1/4	6/8	16	1	1/8		1/8	1		0	48	1562
25	25	1/4	1/4	6/8	5	1	1/8		1/8	1		0	72	1556
25	25	3/8	3/8	6/8	29	1	1/16		1/16	1		1	43	1596
25	25	3/8	3/8	6/8	16	1	1/4		1/4	1		1	43	1563
25	25	3/8	3/8	6/8	15	1	1/4		1/4	1		5	47	1559
25	25	3/8	3/8	6/8	27	1	1/16		1/16	1		2	50	1584
25	25	3/8	3/8	6/8	28	1	1/16		1/16	1		2	50	1590
25	25	3/8	3/8	6/8	24	1	1/16		1/16	1		5	59	1566
25	25	3/8	3/8	6/8	25	1	1/16		1/16	1		5	59	1572
25	25	3/8	3/8	6/8	26	1	1/16		1/16	1		5	59	1578
25	25	3/8	3/8	6/8	5	1	1/4		1/4	1		5	71	1557
25	25	7/16	7/16	6/8	29	1	1/16		1/16	1		5	47	1597
25	25	7/16	7/16	6/8	27	1	1/16		1/16	1		1	55	1585
25	25	7/16	7/16	6/8	28	1	1/16		1/16	1		1	55	1591
25	25	7/16	7/16	6/8	24	1	1/16		1/16	1		2	62	1567
25	25	7/16	7/16	6/8	25	1	1/16		1/16	1		2	62	1573
25	25	7/16	7/16	6/8	26	1	1/16		1/16	1		2	62	1579
25	25	1/2	1/2	6/8	29	1	1/16		1/16	1		4	52	1598
25	25	1/2	1/2	6/8	27	1	1/16		1/16	1		5	59	1586
25	25	1/2	1/2	6/8	28	1	1/16		1/16	1		5	59	1592
25	25	1/2	1/2	6/8	24	1	1/16		1/16	1		1	67	1568
25	25	1/2	1/2	6/8	25	1	1/16		1/16	1		1	67	1574
25	25	1/2	1/2	6/8	26	1	1/16		1/16	1		1	67	1580
25	25	9/16	9/16	6/8	29	1	1/16		1/16	1		1	55	1599
