mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
2	2	1/8	1/8	4/4	30	1	1/24		1/16	2/3		2	38	97
2	2	1/8	1/8	4/4	29	1	1/24		1/16	2/3		2	50	85
2	2	1/6	1/6	4/4	30	1	1/24		1/16	2/3		4	40	98
2	2	1/6	1/6	4/4	29	1	1/24		1/16	2/3		4	52	86
2	2	1/4	1/4	4/4	30	1	1/4		1/4	1		4	40	99
2	2	1/4	1/4	4/4	16	1	1/4		1/4	1		7	49	48
2	2	1/4	1/4	4/4	15	1	1/4		1/4	1		4	52	46
2	2	1/4	1/4	4/4	29	1	1/4		1/4	1		4	52	87
2	2	1/4	1/4	4/4	28	1	1/4		1/4	1		10	70	79
2	2	1/4	1/4	4/4	27	1	1/4		1/4	1		7	73	75
2	2	1/4	1/4	4/4	26	1	1/4		1/4	1		4	76	71
2	2	1/4	1/4	4/4	25	1	1/4		1/4	1		1	79	67
2	2	1/4	1/4	4/4	24	1	1/4		1/4	1		10	82	63
2	2	1/4	1/4	4/4	23	1	1/4		1/4	1		7	85	59
2	2	1/4	1/4	4/4	22	1	1/4		1/4	1		4	88	55
2	2	1/4	1/4	4/4	21	1	1/4		1/4	1		1	91	51
2	2	1/2	1/2	4/4	30	1	1/24		1/16	2/3		10	34	100
2	2	1/2	1/2	4/4	29	1	1/24		1/16	2/3		10	46	88
2	2	1/2	1/2	4/4	28	1	1/4		1/4	1		10	70	80
2	2	1/2	1/2	4/4	27	1	1/4		1/4	1		7	73	76
2	2	1/2	1/2	4/4	26	1	1/4		1/4	1		4	76	72
2	2	1/2	1/2	4/4	25	1	1/4		1/4	1		1	79	68
2	2	1/2	1/2	4/4	24	1	1/4		1/4	1		10	82	64
2	2	1/2	1/2	4/4	23	1	1/4		1/4	1		7	85	60
2	2	1/2	1/2	4/4	22	1	1/4		1/4	1		4	88	56
2	2	1/2	1/2	4/4	21	1	1/4		1/4	1		1	91	52
2	2	13/24	13/24	4/4	30	1	1/24		1/16	2/3		5	35	101
2	2	13/24	13/24	4/4	29	1	1/24		1/16	2/3		5	47	89
2	2	7/12	7/12	4/4	30	1	1/24		1/16	2/3		7	37	102
2	2	7/12	7/12	4/4	29	1	1/24		1/16	2/3		7	49	90
2	2	5/8	5/8	4/4	30	1	1/24		1/16	2/3		2	38	103
2	2	5/8	5/8	4/4	29	1	1/24		1/16	2/3		2	50	91
2	2	2/3	2/3	4/4	30	1	1/24		1/16	2/3		4	40	104
2	2	2/3	2/3	4/4	29	1	1/24		1/16	2/3		4	52	92
2	2	3/4	3/4	4/4	30	1	1/4		1/4	1		4	40	105
2	2	3/4	3/4	4/4	16	1	1/4		1/4	1		7	49	49
2	2	3/4	3/4	4/4	15	1	1/4		1/4	1		4	52	47
2	2	3/4	3/4	4/4	29	1	1/4		1/4	1		4	52	93
2	2	3/4	3/4	4/4	28	1	1/4		1/4	1		10	70	81
2	2	3/4	3/4	4/4	27	1	1/4		1/4	1		7	73	77
2	2	3/4	3/4	4/4	26	1	1/4		1/4	1		4	76	73
2	2	3/4	3/4	4/4	25	1	1/4		1/4	1		1	79	69
2	2	3/4	3/4	4/4	24	1	1/4		1/4	1		10	82	65
2	2	3/4	3/4	4/4	23	1	1/4		1/4	1		7	85	61
2	2	3/4	3/4	4/4	22	1	1/4		1/4	1		4	88	57
2	2	3/4	3/4	4/4	21	1	1/4		1/4	1		1	91	53
3	3	0	0	4/4	9	1	1		1	1	1	7	49	109
3	3	0	0	4/4	9	1	1		1	1	1	10	58	109
3	3	0	0	4/4	8	1	1		1	1	1	4	64	108
3	3	0	0	4/4	8	1	1		1	1	1	1	67	108
3	3	0	0	4/4	28	1	1/32		1/32	1		10	70	278
3	3	0	0	4/4	27	1	1/32		1/32	1		7	73	254
3	3	0	0	4/4	5	1	1		1	1	1	7	73	107
3	3	0	0	4/4	26	1	1/32		1/32	1		4	76	230
3	3	0	0	4/4	3	1	1		1	1	1	4	76	106
3	3	0	0	4/4	25	1	1/32		1/32	1		1	79	206
3	3	0	0	4/4	3	1	1		1	1	1	1	79	106
3	3	0	0	4/4	23	1	1/32		1/32	1		7	85	158
3	3	0	0	4/4	24	1	1/32		1/32	1		7	85	182
3	3	0	0	4/4	22	1	1/32		1/32	1		4	88	134
3	3	0	0	4/4	21	1	1/32		1/32	1		1	91	110
3	3	1/32	1/32	4/4	28	1	1/32		1/32	1		5	71	279
3	3	1/32	1/32	4/4	27	1	1/32		1/32	1		2	74	255
3	3	1/32	1/32	4/4	25	1	1/32		1/32	1		6	78	207
3	3	1/32	1/32	4/4	26	1	1/32		1/32	1		6	78	231
3	3	1/32	1/32	4/4	23	1	1/32		1/32	1		5	83	159
3	3	1/32	1/32	4/4	24	1	1/32		1/32	1		5	83	183
3	3	1/32	1/32	4/4	22	1	1/32		1/32	1		2	86	135
3	3	1/32	1/32	4/4	21	1	1/32		1/32	1		6	90	111
