mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
5	4	1/4	1/4	3/4	1	2	1/8	1/8	1		1	67	38
5	4	3/8	3/8	3/4	1	2	1/8	1/8	1		-4	68	39
5	4	1/2	1/2	3/4	2	1	1/4	1/4	1		-4	56	44
5	4	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	44
5	4	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	63	44
5	4	1/2	1/2	3/4	1	2	1/8	1/8	1		-2	70	40
5	4	5/8	5/8	3/4	1	2	1/8	1/8	1		-4	68	41
6	5	0	0	3/4	2	1	1/4	1/4	1		-5	49	52
6	5	0	0	3/4	1	2	1/8	1/8	1		-1	77	46
6	5	0	0	3/4	1	1	3/4	1/2	3/2		-1	77	45
6	5	1/8	1/8	3/4	1	2	1/8	1/8	1		-4	68	47
6	5	1/4	1/4	3/4	2	1	1/4	1/4	1		-4	56	53
6	5	1/4	1/4	3/4	2	1	1/4	1/4	1		-5	61	53
6	5	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	65	53
6	5	1/4	1/4	3/4	1	2	1/8	1/8	1		1	67	48
6	5	3/8	3/8	3/4	1	2	1/8	1/8	1		-4	68	49
6	5	1/2	1/2	3/4	2	1	1/4	1/4	1		-4	56	54
6	5	1/2	1/2	3/4	2	1	1/4	1/4	1		-5	61	54
6	5	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	65	54
6	5	1/2	1/2	3/4	1	2	1/8	1/8	1		1	67	50
6	5	5/8	5/8	3/4	1	2	1/8	1/8	1		-4	68	51
7	6	0	0	3/4	2	1	1/4	1/4	1		-5	49	64
7	6	0	0	3/4	1	2	1/8	1/8	1		-5	73	58
7	6	0	0	3/4	1	1	1/4	1/4	1		-5	73	55
7	6	1/8	1/8	3/4	1	2	1/8	1/8	1		-4	68	59
7	6	1/4	1/4	3/4	2	1	1/4	1/4	1		-4	56	65
7	6	1/4	1/4	3/4	2	1	1/4	1/4	1		-5	61	65
7	6	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	65	65
7	6	1/4	1/4	3/4	1	2	1/8	1/8	1		-3	75	60
7	6	1/4	1/4	3/4	1	1	1/4	1/4	1		-3	75	56
7	6	3/8	3/8	3/4	1	2	1/8	1/8	1		-4	68	61
7	6	1/2	1/2	3/4	2	1	1/4	1/4	1		-4	56	66
7	6	1/2	1/2	3/4	2	1	1/4	1/4	1		-5	61	66
7	6	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	65	66
7	6	1/2	1/2	3/4	1	2	1/8	1/8	1		-1	77	62
